Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Asthma,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,COP
2022,PA,Pennsylvania,Allegheny,42003,42003141200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.7,,,8.5,10.9,4007,3242,POINT (-79.8969935 40.4452265),42003141200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.8
2022,PA,Pennsylvania,Allegheny,42003,42003140100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.4,12.0,5579,5066,POINT (-79.9373596 40.4427482),42003140100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.2
2022,PA,Pennsylvania,Allegheny,42003,42003191900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.3,11.9,2177,1786,POINT (-80.0221667 40.3962085),42003191900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.9
2022,PA,Pennsylvania,Allegheny,42003,42003320700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.7,,,9.4,12.0,1613,1318,POINT (-80.0002179 40.3824508),42003320700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.3
2022,PA,Pennsylvania,Allegheny,42003,42003100500,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.3,,,10.0,12.7,2013,1695,POINT (-79.9370127 40.477178),42003100500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.7
2022,PA,Pennsylvania,Adams,42001,42001030101,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.4,,,9.1,11.8,2646,2069,POINT (-77.0916161 40.0146129),42001030101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.2
2022,PA,Pennsylvania,Allegheny,42003,42003300100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.1,,,11.6,14.7,3493,2529,POINT (-79.9930098 40.4135552),42003300100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,10.9
2022,PA,Pennsylvania,Allegheny,42003,42003261300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.7,,,12.1,15.3,2767,1781,POINT (-80.0059004 40.486005),42003261300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,11.3
2022,PA,Pennsylvania,Adams,42001,42001031501,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.4,,,9.9,13.0,3157,2979,POINT (-77.2357145 39.8350913),42001031501,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.0
2022,PA,Pennsylvania,Allegheny,42003,42003161000,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.7,,,10.3,13.2,2666,2104,POINT (-79.9694546 40.412603),42003161000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.7
