Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Smoking,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Drinking,Physical_Activity,Short_Sleep
2022,PA,Pennsylvania,Adams,42001,42001030300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.7,,,15.4,20.2,4437,3354,POINT (-77.3032111 39.97956),42001030300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.2,25.4,39.6
2022,PA,Pennsylvania,Allegheny,42003,42003151700,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.2,,,13.4,17.0,4956,4188,POINT (-79.9331479 40.4239388),42003151700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.2,20.8,34.8
2022,PA,Pennsylvania,Allegheny,42003,42003151600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.1,,,15.1,19.1,2305,1954,POINT (-79.9444005 40.4250024),42003151600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.7,21.8,35.1
2022,PA,Pennsylvania,Allegheny,42003,42003030500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.8,,,13.1,16.7,3041,2591,POINT (-79.985307 40.4421127),42003030500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,15.1,27.0,41.7
2022,PA,Pennsylvania,Adams,42001,42001031101,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,19.0,,,16.6,21.6,5177,4060,POINT (-77.0116149 39.8037622),42001031101,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.1,27.9,39.8
2022,PA,Pennsylvania,Allegheny,42003,42003070500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.4,,,6.4,8.5,3040,2917,POINT (-79.9289619 40.4560165),42003070500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,25.4,12.8,31.9
2022,PA,Pennsylvania,Allegheny,42003,42003101900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.8,,,15.8,20.0,2432,1839,POINT (-79.9401262 40.4687735),42003101900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.9,26.4,44.2
2022,PA,Pennsylvania,Allegheny,42003,42003191500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.2,,,13.4,17.1,2005,1803,POINT (-80.0108171 40.4205204),42003191500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.1,19.1,35.8
2022,PA,Pennsylvania,Allegheny,42003,42003141100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,10.4,,,9.1,11.7,1339,1107,POINT (-79.9075532 40.4196414),42003141100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.6,17.0,31.3
2022,PA,Pennsylvania,Adams,42001,42001031300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.3,,,16.0,20.8,4803,3710,POINT (-77.0891833 39.7451953),42001031300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.8,26.9,39.0
2022,PA,Pennsylvania,Allegheny,42003,42003140200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.5,,,7.5,9.7,2771,2480,POINT (-79.9263113 40.4478011),42003140200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.5,16.3,32.3
2022,PA,Pennsylvania,Adams,42001,42001031700,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.8,,,14.6,19.2,2826,2320,POINT (-77.4070658 39.7962181),42001031700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,15.9,26.4,37.8
2022,PA,Pennsylvania,Allegheny,42003,42003040600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.0,,,14.2,18.3,2054,1961,POINT (-79.9522906 40.4367398),42003040600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.4,28.2,40.4
2022,PA,Pennsylvania,Adams,42001,42001030802,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.9,,,14.7,19.3,1542,1181,POINT (-76.9794587 39.9368289),42001030802,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.6,25.1,37.7
