system:index,geoid,sum,.geo
0,42001030101,5868.972549019608,"{""type"":""Polygon"",""coordinates"":[[[-77.15558430660006,40.056708931998735],[-77.07650919396805,39.97600499410472],[-77.01051116805408,40.00042409936805],[-77.12763034672568,40.06861696122836],[-77.15558430660006,40.056708931998735]]]}"
1,42001030103,3644.113725490195,"{""type"":""Polygon"",""coordinates"":[[[-77.07256119508814,39.97479699652377],[-77.02286421336922,39.953329014494976],[-76.98793021759433,39.966834086778306],[-77.01051116805408,40.00042409936805],[-77.07256119508814,39.97479699652377]]]}"
2,42001030104,6041.019607843138,"{""type"":""Polygon"",""coordinates"":[[[-77.09912522902263,39.94784393565778],[-77.0821382264036,39.94815195175894],[-77.09545925588363,39.92478690986912],[-77.0821502904666,39.892550878736515],[-77.03473025893308,39.91050693978287],[-77.03813023837878,39.9310249672787],[-77.02205826094598,39.905588942277426],[-77.01477624197757,39.923151975209244],[-76.98709424993949,39.92331602186688],[-76.9906392317111,39.94292604304634],[-76.9662012637507,39.93519309390744],[-76.98793021759433,39.966834086778306],[-77.02286421336922,39.953329014494976],[-77.07273619526975,39.97464599614181],[-77.09912522902263,39.94784393565778]]]}"
3,42001030200,13370.447058823529,"{""type"":""Polygon"",""coordinates"":[[[-77.2533441998301,40.021068826893014],[-77.20856016958021,39.998025877678714],[-77.18461526113863,39.933189842804325],[-77.15688625706775,39.93269586645346],[-77.11611828868915,39.90151386476277],[-77.09340427525376,39.908049890295835],[-77.0821382264036,39.94815195175894],[-77.09912522902263,39.94784393565778],[-77.07273619526975,39.97464599614181],[-77.15558430660006,40.056708931998735],[-77.18562923450007,40.029501901849564],[-77.2533441998301,40.021068826893014]]]}"
4,42001030300,9721.752941176475,"{""type"":""Polygon"",""coordinates"":[[[-77.42136073457911,39.98129452446752],[-77.31100003966233,39.93226463370586],[-77.19946420614272,39.97281286522179],[-77.21848718144454,40.00698686769709],[-77.2533441998301,40.021068826893014],[-77.42136073457911,39.98129452446752]]]}"
5,42001030400,14251.321568627447,"{""type"":""Polygon"",""coordinates"":[[[-77.471083467549,39.94407728501525],[-77.46595719442185,39.85976395531194],[-77.45077031191349,39.87057305128627],[-77.38769258908577,39.83643417111136],[-77.32887795148436,39.85662444327418],[-77.29631614063352,39.84316854300039],[-77.26344529708977,39.87315069745372],[-77.2953900990524,39.93325267386001],[-77.35475988082084,39.942811549638506],[-77.42136073457911,39.98129452446752],[-77.471083467549,39.94407728501525]]]}"
6,42001030500,6719.729411764709,"{""type"":""Polygon"",""coordinates"":[[[-77.29525609963659,39.933113673994576],[-77.26344529708977,39.87315069745372],[-77.15375626152554,39.92895386522291],[-77.18461526113863,39.933189842804325],[-77.19946420614272,39.97281286522179],[-77.29525609963659,39.933113673994576]]]}"
7,42001030600,12617.603921568634,"{""type"":""Polygon"",""coordinates"":[[[-77.22822633156677,39.89190277221429],[-77.2173564334337,39.82188172208693],[-77.18479443244385,39.81210272822359],[-77.16966638716033,39.83973676245031],[-77.11612234321274,39.8575078123361],[-77.08248329117376,39.89201687779431],[-77.08398626648825,39.91371390505448],[-77.11611828868915,39.90151386476277],[-77.15375626152554,39.92895386522291],[-77.22822633156677,39.89190277221429]]]}"
8,42001030700,10057.898039215685,"{""type"":""Polygon"",""coordinates"":[[[-77.18479443244385,39.81210272822359],[-77.107890447444,39.76946670979441],[-77.0421043557871,39.81985580189964],[-77.07950735909081,39.83200480057591],[-77.0656073087266,39.87200586254492],[-77.07918530389566,39.8801068644154],[-77.06648029217249,39.8871478827101],[-77.08624429099902,39.893059876426335],[-77.11612234321274,39.8575078123361],[-77.16966638716033,39.83973676245031],[-77.18479443244385,39.81210272822359]]]}"
9,42001030801,4608.141176470588,"{""type"":""Polygon"",""coordinates"":[[[-77.02734429717539,39.87105288605504],[-77.00148432644133,39.83110883881992],[-76.95493128657372,39.85685101611898],[-76.98384927124482,39.89497698734921],[-77.02734429717539,39.87105288605504]]]}"
10,42001030802,693.8941176470589,"{""type"":""Polygon"",""coordinates"":[[[-76.99105723173462,39.942253040938596],[-76.98478924531085,39.933150042947524],[-76.97180426070759,39.92852406978394],[-76.97160225628566,39.93911708571001],[-76.99105723173462,39.942253040938596]]]}"
11,42001030803,4135.38431372549,"{""type"":""Polygon"",""coordinates"":[[[-77.07583128853602,39.89272288355214],[-77.03150430003845,39.8695938811759],[-76.96493626926237,39.922040078519046],[-76.98478924531085,39.933150042947524],[-77.02249426107016,39.90556994191161],[-77.03733023801153,39.931242968290995],[-77.03473025893308,39.91050693978287],[-77.07583128853602,39.89272288355214]]]}"
12,42001030901,2125.290196078432,"{""type"":""Polygon"",""coordinates"":[[[-77.07982130905022,39.87577985826418],[-77.06470032503572,39.857012842510194],[-77.03160930009693,39.869570881073976],[-77.07049129892314,39.882163873123915],[-77.07982130905022,39.87577985826418]]]}"
13,42001030902,5505.549019607841,"{""type"":""Polygon"",""coordinates"":[[[-77.079744352415,39.8379188082723],[-77.06605136273308,39.82352679579696],[-77.00148432644133,39.83110883881992],[-77.02748529727145,39.87100388588959],[-77.07401632322654,39.86162084312215],[-77.079744352415,39.8379188082723]]]}"
14,42001031000,2236.4627450980406,"{""type"":""Polygon"",""coordinates"":[[[-77.04978734954291,39.82900181139861],[-77.03107636854907,39.802394780900386],[-76.99961534325348,39.81212481029317],[-76.99858232442475,39.83138584446123],[-77.04978734954291,39.82900181139861]]]}"
15,42001031101,1806.458823529412,"{""type"":""Polygon"",""coordinates"":[[[-77.03107636854907,39.802394780900386],[-76.99956236059073,39.79350678057552],[-76.99961534325348,39.81212481029317],[-77.0142253517753,39.8108398008274],[-77.03107636854907,39.802394780900386]]]}"
16,42001031102,3611.972549019608,"{""type"":""Polygon"",""coordinates"":[[[-77.0573213896511,39.79518576023201],[-77.0362404043627,39.77030673140315],[-76.99944939147274,39.76020872751685],[-76.99956236059073,39.79350678057552],[-77.01334535970337,39.80228378786155],[-77.02748537265042,39.79655277352859],[-77.0423903564115,39.8193868010839],[-77.0573213896511,39.79518576023201]]]}"
17,42001031201,7590.1098039215685,"{""type"":""Polygon"",""coordinates"":[[[-77.23270854436849,39.754248662547866],[-77.2168944641746,39.737006604439856],[-77.22772138400445,39.72243453354909],[-77.16709133714502,39.71986755484921],[-77.11287245043084,39.76942470832768],[-77.21441843873956,39.81742371973537],[-77.2084015014061,39.773028684287304],[-77.23270854436849,39.754248662547866]]]}"
18,42001031202,4694.278431372549,"{""type"":""Polygon"",""coordinates"":[[[-77.16709133714502,39.71986755484921],[-77.04344827293919,39.71991862249454],[-77.07458144017637,39.748185687883996],[-77.09963038790625,39.73566664208001],[-77.09983643558436,39.775408719509514],[-77.16709133714502,39.71986755484921]]]}"
