county,license_type,lat,lon,geometry,cluster
BEAVER,Cigarette Stamping Agent,40.67809,-80.15242,POINT (-80.15242 40.67809),-1
BEAVER,Cig/OTP Retail,40.679043,-80.272331,POINT (-80.272331 40.679043),-1
BERKS,Cig/OTP Retail,40.326548,-75.900715,POINT (-75.900715 40.326548),0
PHILADELPHIA,CSA/OTP Wholesaler,40.054756653,-75.090657608,POINT (-75.090657608 40.054756653),1
PHILADELPHIA,CSA/OTP Wholesaler,40.054756653,-75.090657608,POINT (-75.090657608 40.054756653),1
CHESTER,Cig/OTP Retail,39.986204,-75.805867,POINT (-75.805867 39.986204),2
DAUPHIN,OTP Wholesaler,40.330920997,-76.871232985,POINT (-76.871232985 40.330920997),3
ELK,Cig/OTP Retail,41.424376,-78.731022,POINT (-78.731022 41.424376),4
LANCASTER,Retail,40.049191,-76.294956,POINT (-76.294956 40.049191),5
LEHIGH,Cig/OTP Retail,40.638709,-75.348603,POINT (-75.348603 40.638709),6
LUZERNE,Cigarette Stamping Agent,41.22406,-75.8797,POINT (-75.8797 41.22406),7
LUZERNE,Cig/OTP Retail,40.979151,-76.013469,POINT (-76.013469 40.979151),8
PHILADELPHIA,CSA-Research,39.980385993,-75.157013002,POINT (-75.157013002 39.980385993),1
PHILADELPHIA,Cig/OTP Retail,40.057576,-75.060145,POINT (-75.060145 40.057576),9
PHILADELPHIA,OTP Wholesaler,39.99235,-75.11156,POINT (-75.11156 39.99235),1
PHILADELPHIA,Cigarette Wholesaler,40.01664,-75.12884,POINT (-75.12884 40.01664),1
PHILADELPHIA,Cig/OTP Retail,40.014933,-75.064535,POINT (-75.064535 40.014933),1
WASHINGTON,Cig/OTP Retail,40.139268,-79.899621,POINT (-79.899621 40.139268),10
YORK,Cig/OTP Retail,40.22384,-76.860387,POINT (-76.860387 40.22384),11
ALLEGHENY,OTP Itinerant,40.471837,-79.715921,POINT (-79.715921 40.471837),-1
LEHIGH,OTP Itinerant,39.948373,-75.156481,POINT (-75.156481 39.948373),1
LUZERNE,OTP Retail Itinerant,40.99076,-76.06304,POINT (-76.06304 40.99076),-1
PHILADELPHIA,Cig/OTP Retail,39.981381,-75.178747,POINT (-75.178747 39.981381),1
ALLEGHENY,Cigarette/OTP Retail,40.335917,-79.974366,POINT (-79.974366 40.335917),12
DELAWARE,Cigarette Retail,39.953042,-75.257605,POINT (-75.257605 39.953042),1
DELAWARE,OTP Retail,39.953042,-75.257605,POINT (-75.257605 39.953042),1
MONTGOMERY,Cigarette/OTP Retail,40.0878,-75.3923,POINT (-75.3923 40.0878),13
